media_id,media_name,media_url
18777,billboard.biz,http://www.billboard.biz
18802,dailyfinance.com,http://www.dailyfinance.com
18817,blogs.discovermagazine.com,http://blogs.discovermagazine.com
18824,theatlanticwire.com,http://www.theatlanticwire.com
18853,theatlantic.com,http://www.theatlantic.com
18859,nextgov.com,http://www.nextgov.com
18868,digitalmusicnews.com,http://www.digitalmusicnews.com
18870,firedoglake.com,http://firedoglake.com
18879,salon.com,http://www.salon.com
18886,ft.com,http://www.ft.com
18910,bighollywood.breitbart.com,http://bighollywood.breitbart.com
18926,hereandnow.wbur.org,http://hereandnow.wbur.org
18933,newstatesman.com,http://www.newstatesman.com
18957,newyork.cbslocal.com,http://newyork.cbslocal.com
18965,npr.org,http://www.npr.org
18966,reason.com,http://reason.com
18970,koreaherald.com,http://www.koreaherald.com
18974,channelnewsasia.com,http://www.channelnewsasia.com
18979,wnyc.org,http://www.wnyc.org
19017,cjonline.com,http://cjonline.com
19023,moviecitynews.com,http://moviecitynews.com
19029,startribune.com,http://www.startribune.com
19069,thenation.com,http://www.thenation.com
19076,variety.com,http://www.variety.com
19080,aljazeera.com,http://www.aljazeera.com
19082,pjmedia.com,http://pjmedia.com
19093,tech.mit.edu,http://tech.mit.edu
19124,karenkforcongress.com,http://karenkforcongress.com
19139,nzherald.co.nz,http://www.nzherald.co.nz
19148,prisonplanet.com,http://www.prisonplanet.com
19193,music-mix.ew.com,http://music-mix.ew.com
19194,billboard.com,http://www.billboard.com
19197,theage.com.au,http://www.theage.com.au
19259,theintelhub.com,http://theintelhub.com
19260,abcnews.go.com,http://abcnews.go.com
19263,news.smh.com.au,http://news.smh.com.au
19295,lemonde.fr,http://www.lemonde.fr
19334,breitbart.com,http://www.breitbart.com
19341,business-standard.com,http://www.business-standard.com
19395,pbs.org,http://www.pbs.org
19458,scpr.org,http://www.scpr.org
19467,austinchronicle.com,http://www.austinchronicle.com
19477,theglobeandmail.com,http://www.theglobeandmail.com
19562,marketwatch.com,http://www.marketwatch.com
19615,wbez.org,http://www.wbez.org
19643,slate.com,http://www.slate.com
19647,king5.com,http://www.king5.com
19653,upi.com,http://www.upi.com
19680,seattletimes.nwsource.com,http://seattletimes.nwsource.com
19690,washingtonexaminer.com,http://washingtonexaminer.com
19695,telegraph.co.uk,http://www.telegraph.co.uk
19763,townhall.com,http://townhall.com
19802,chronicle.com,http://chronicle.com
19822,washingtonian.com,http://www.washingtonian.com
19831,spiegel.de,http://www.spiegel.de
19854,rollcall.com,http://www.rollcall.com
19914,stanfordlawreview.org,http://www.stanfordlawreview.org
19972,focus.de,http://www.focus.de
19984,mediaite.com,http://www.mediaite.com
19995,novinite.com,http://www.novinite.com
20001,taz.de,http://www.taz.de
20008,betabeat.com,http://www.betabeat.com
20025,publico.es,http://www.publico.es
20060,bizjournals.com,http://www.bizjournals.com
20090,chicagotribune.com,http://www.chicagotribune.com
20120,nj.com,http://www.nj.com
20121,kswo.com,http://www.kswo.com
20129,haaretz.com,http://www.haaretz.com
20139,rnw.nl,http://www.rnw.nl
20153,foreignpolicy.com,http://www.foreignpolicy.com
20165,northjersey.com,http://www.northjersey.com
20166,bostinno.com,http://bostinno.com
20180,business.financialpost.com,http://business.financialpost.com
20189,motherjones.com,http://motherjones.com
20194,tibetsun.com,http://www.tibetsun.com
20258,hindustantimes.com,http://www.hindustantimes.com
20273,ibtimes.com,http://www.ibtimes.com
20306,matadornetwork.com,http://matadornetwork.com
20323,elmundo.es,http://www.elmundo.es
20340,thedailyrecord.com,http://thedailyrecord.com
20354,minyanville.com,http://www.minyanville.com
20357,cnsnews.com,http://cnsnews.com
20401,dailydot.com,http://www.dailydot.com
20407,news.nationalpost.com,http://news.nationalpost.com
20453,welt.de,http://www.welt.de
20489,irishtimes.com,http://www.irishtimes.com
20519,bobcesca.com,http://bobcesca.com
20521,politicspa.com,http://www.politicspa.com
20538,jobtrakr.com,http://jobtrakr.com
20546,indybay.org,http://www.indybay.org
20548,texastribune.org,http://www.texastribune.org
20566,newsday.com,http://www.newsday.com
20595,vulture.com,http://www.vulture.com
20605,inc.com,http://www.inc.com
20613,merrimack.patch.com,http://merrimack.patch.com
20615,bostonreview.net,http://www.bostonreview.net
20633,blogs.laweekly.com,http://blogs.laweekly.com
20637,showbiz411.com,http://www.showbiz411.com
20639,propublica.org,http://www.propublica.org
20653,newsok.com,http://newsok.com
20662,canadianbusiness.com,http://www.canadianbusiness.com
20697,capitaltonight.com,http://www.capitaltonight.com
20711,omaha.com,http://www.omaha.com
20741,blogs.seattleweekly.com,http://blogs.seattleweekly.com
20758,netrightdaily.com,http://netrightdaily.com
20775,abc.net.au,http://www.abc.net.au
20786,holykaw.alltop.com,http://holykaw.alltop.com
20821,blog.timesunion.com,http://blog.timesunion.com
20827,deathandtaxesmag.com,http://www.deathandtaxesmag.com
20834,13wmaz.com,http://www.13wmaz.com
20843,lvrj.com,http://www.lvrj.com
20864,miamiherald.typepad.com,http://miamiherald.typepad.com
20871,vpr.net,http://www.vpr.net
20880,thedailyshow.com,http://www.thedailyshow.com
20918,israelnationalnews.com,http://www.israelnationalnews.com
20930,NJ Spotlight,http://www.njspotlight.com
20951,alaskadispatch.com,http://www.alaskadispatch.com
21012,thefastertimes.com,http://www.thefastertimes.com
21043,tagesschau.de,http://www.tagesschau.de
21068,mmamania.com,http://www.mmamania.com
21080,tennessean.com,http://www.tennessean.com
21091,observer.com,http://www.observer.com
21167,digitalspy.com,http://www.digitalspy.com
21231,ccinsider.comedycentral.com,http://ccinsider.comedycentral.com
21270,stripes.com,http://www.stripes.com
21279,rte.ie,http://www.rte.ie
21281,kansan.com,http://www.kansan.com
21316,slog.thestranger.com,http://slog.thestranger.com
21328,cnbc.com,http://www.cnbc.com
21333,icv2.com,http://www.icv2.com
21399,cinemablend.com,http://www.cinemablend.com
21411,sacramentoconnect.sacbee.com,http://sacramentoconnect.sacbee.com
21419,mxdwn.com,http://www.mxdwn.com
21425,teamcoco.com,http://teamcoco.com
21470,whatstrending.com,http://whatstrending.com
21480,jsonline.com,http://www.jsonline.com
21511,bostonglobe.com,http://www.bostonglobe.com
21515,foxbusiness.com,http://www.foxbusiness.com
21520,shtfplan.com,http://www.shtfplan.com
21537,villagevoice.com,http://www.villagevoice.com
21542,theweek.com,http://theweek.com
21548,denverpost.com,http://www.denverpost.com
21551,3news.co.nz,http://www.3news.co.nz
21570,theurbn.com,http://www.theurbn.com
21583,praguemonitor.com,http://praguemonitor.com
21590,brobible.com,http://www.brobible.com
21603,timesofindia.indiatimes.com,http://timesofindia.indiatimes.com
21617,vice.com,http://www.vice.com
21629,newser.com,http://www.newser.com
21674,moranforkansas.com,http://www.moranforkansas.com
21680,wilshireandwashington.com,http://www.wilshireandwashington.com
21688,khaleejtimes.com,http://www.khaleejtimes.com
21720,lohud.com,http://www.lohud.com
21739,nbcdfw.com,http://www.nbcdfw.com
21814,nationaltimes.com.au,http://www.nationaltimes.com.au
21815,blogs.sfweekly.com,http://blogs.sfweekly.com
21867,newsweek.tumblr.com,http://newsweek.tumblr.com
21886,elconfidencial.com,http://www.elconfidencial.com
21906,jordantimes.com,http://jordantimes.com
21931,blogs.wpri.com,http://blogs.wpri.com
21934,suntimes.com,http://www.suntimes.com
21938,capitalnewyork.com,http://www.capitalnewyork.com
21981,theyoungturks.com,http://www.theyoungturks.com
21982,realtechtime.blogspot.com,http://realtechtime.blogspot.com
21983,toronto.ctv.ca,http://toronto.ctv.ca
21990,globalpost.com,http://www.globalpost.com
21999,inthesetimes.com,http://inthesetimes.com
22002,bilerico.com,http://www.bilerico.com
22040,articles.orlandosentinel.com,http://articles.orlandosentinel.com
22084,twice.com,http://www.twice.com
22088,theblaze.com,http://www.theblaze.com
22098,qctimes.com,http://qctimes.com
22119,zeit.de,http://www.zeit.de
22123,630wpro.com,http://www.630wpro.com
22152,sacramentopress.com,http://www.sacramentopress.com
22331,thehindu.com,http://www.thehindu.com
22339,wnd.com,http://www.wnd.com
22385,demotix.com,http://www.demotix.com
22387,fox13now.com,http://www.fox13now.com
22389,deadspin.com,http://deadspin.com
22408,digitaljournal.com,http://www.digitaljournal.com
22436,politickerny.com,http://www.politickerny.com
22459,thestate.com,http://www.thestate.com
22465,prescottenews.com,http://www.prescottenews.com
